X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
152.0296831,-34.1987248,448.056,1500 Area-Boundary,176,0,0,176,15000176,34,11,55.41,S,152,01,46.86,E
152.02425,-34.21101256,457.2,1500 Area-Boundary,177,0,0,177,15000177,34,12,39.65,S,152,01,27.30,E
152.02425,-34.21101257,457.2,1500 Area-Boundary,178,0,0,178,15000178,34,12,39.65,S,152,01,27.30,E
152.0185584,-34.22321953,457.2,1500 Area-Boundary,179,0,0,179,15000179,34,13,23.59,S,152,01,06.81,E
152.0185584,-34.22321954,457.2,1500 Area-Boundary,180,0,0,180,15000180,34,13,23.59,S,152,01,06.81,E
152.01261,-34.23534196,457.2,1500 Area-Boundary,181,0,0,181,15000181,34,14,07.23,S,152,00,45.40,E
152.01261,-34.23534197,457.2,1500 Area-Boundary,182,0,0,182,15000182,34,14,07.23,S,152,00,45.40,E
152.0064065,-34.24737613,457.2,1500 Area-Boundary,183,0,0,183,15000183,34,14,50.55,S,152,00,23.06,E
152.0064065,-34.24737615,457.2,1500 Area-Boundary,184,0,0,184,15000184,34,14,50.55,S,152,00,23.06,E
151.9999497,-34.25931835,457.2,1500 Area-Boundary,185,0,0,185,15000185,34,15,33.55,S,151,59,59.82,E
151.9999497,-34.25931837,457.2,1500 Area-Boundary,186,0,0,186,15000186,34,15,33.55,S,151,59,59.82,E
151.9932415,-34.27116496,457.2,1500 Area-Boundary,187,0,0,187,15000187,34,16,16.19,S,151,59,35.67,E
151.9932414,-34.27116498,457.2,1500 Area-Boundary,188,0,0,188,15000188,34,16,16.19,S,151,59,35.67,E
151.9862838,-34.28291232,457.2,1500 Area-Boundary,189,0,0,189,15000189,34,16,58.48,S,151,59,10.62,E
151.9862838,-34.28291234,457.2,1500 Area-Boundary,190,0,0,190,15000190,34,16,58.48,S,151,59,10.62,E
151.9790786,-34.29455683,457.2,1500 Area-Boundary,191,0,0,191,15000191,34,17,40.40,S,151,58,44.68,E
151.9790786,-34.29455684,457.2,1500 Area-Boundary,192,0,0,192,15000192,34,17,40.40,S,151,58,44.68,E
151.9716282,-34.30609489,457.2,1500 Area-Boundary,193,0,0,193,15000193,34,18,21.94,S,151,58,17.86,E
151.9716282,-34.30609491,457.2,1500 Area-Boundary,194,0,0,194,15000194,34,18,21.94,S,151,58,17.86,E
151.9639346,-34.31752298,457.2,1500 Area-Boundary,195,0,0,195,15000195,34,19,03.08,S,151,57,50.16,E
151.9639346,-34.31752299,457.2,1500 Area-Boundary,196,0,0,196,15000196,34,19,03.08,S,151,57,50.16,E
151.9560002,-34.32883757,457.2,1500 Area-Boundary,197,0,0,197,15000197,34,19,43.82,S,151,57,21.60,E
151.9560002,-34.32883759,457.2,1500 Area-Boundary,198,0,0,198,15000198,34,19,43.82,S,151,57,21.60,E
151.9478272,-34.34003519,457.2,1500 Area-Boundary,199,0,0,199,15000199,34,20,24.13,S,151,56,52.18,E
151.9478272,-34.3400352,457.2,1500 Area-Boundary,200,0,0,200,15000200,34,20,24.13,S,151,56,52.18,E
151.9394181,-34.35111239,457.2,1500 Area-Boundary,201,0,0,201,15000201,34,21,04.00,S,151,56,21.91,E
151.9394181,-34.3511124,457.2,1500 Area-Boundary,202,0,0,202,15000202,34,21,04.00,S,151,56,21.91,E
151.9307755,-34.36206575,457.2,1500 Area-Boundary,203,0,0,203,15000203,34,21,43.44,S,151,55,50.79,E
151.9307755,-34.36206577,457.2,1500 Area-Boundary,204,0,0,204,15000204,34,21,43.44,S,151,55,50.79,E
151.9219018,-34.37289191,457.2,1500 Area-Boundary,205,0,0,205,15000205,34,22,22.41,S,151,55,18.85,E
151.9219018,-34.37289193,457.2,1500 Area-Boundary,206,0,0,206,15000206,34,22,22.41,S,151,55,18.85,E
151.9127997,-34.38358754,457.2,1500 Area-Boundary,207,0,0,207,15000207,34,23,00.92,S,151,54,46.08,E
151.9127997,-34.38358755,457.2,1500 Area-Boundary,208,0,0,208,15000208,34,23,00.92,S,151,54,46.08,E
151.9034719,-34.39414933,457.2,1500 Area-Boundary,209,0,0,209,15000209,34,23,38.94,S,151,54,12.50,E
151.9034719,-34.39414934,457.2,1500 Area-Boundary,210,0,0,210,15000210,34,23,38.94,S,151,54,12.50,E
151.8939213,-34.40457402,457.2,1500 Area-Boundary,211,0,0,211,15000211,34,24,16.47,S,151,53,38.12,E
151.8939213,-34.40457404,457.2,1500 Area-Boundary,212,0,0,212,15000212,34,24,16.47,S,151,53,38.12,E
151.8841507,-34.41485842,457.2,1500 Area-Boundary,213,0,0,213,15000213,34,24,53.49,S,151,53,02.94,E
151.8841507,-34.41485843,457.2,1500 Area-Boundary,214,0,0,214,15000214,34,24,53.49,S,151,53,02.94,E
151.874163,-34.42499933,457.2,1500 Area-Boundary,215,0,0,215,15000215,34,25,30.00,S,151,52,26.99,E
151.874163,-34.42499934,457.2,1500 Area-Boundary,216,0,0,216,15000216,34,25,30.00,S,151,52,26.99,E
151.8639612,-34.43499363,457.2,1500 Area-Boundary,217,0,0,217,15000217,34,26,05.98,S,151,51,50.26,E
151.8639612,-34.43499364,457.2,1500 Area-Boundary,218,0,0,218,15000218,34,26,05.98,S,151,51,50.26,E
151.8535485,-34.44483824,457.2,1500 Area-Boundary,219,0,0,219,15000219,34,26,41.42,S,151,51,12.77,E
151.8535485,-34.44483825,457.2,1500 Area-Boundary,220,0,0,220,15000220,34,26,41.42,S,151,51,12.77,E
151.8429279,-34.45453011,457.2,1500 Area-Boundary,221,0,0,221,15000221,34,27,16.31,S,151,50,34.54,E
151.8429279,-34.45453013,457.2,1500 Area-Boundary,222,0,0,222,15000222,34,27,16.31,S,151,50,34.54,E
151.8321027,-34.46406626,457.2,1500 Area-Boundary,223,0,0,223,15000223,34,27,50.64,S,151,49,55.57,E
151.8321027,-34.46406627,457.2,1500 Area-Boundary,224,0,0,224,15000224,34,27,50.64,S,151,49,55.57,E
